193696083.txt,"Encyclopaedia Britannica - Seventh edition, Volume 5, BOR-CAL - EB.15"
193322690.txt,"Encyclopaedia Britannica - Seventh edition, Volume 6, CAL-Clock - EB.15"
193819043.txt,"Encyclopaedia Britannica - Seventh edition, Volume 7, CLO-Dialling - EB.15"
193322688.txt,"Encyclopaedia Britannica - Seventh edition, Volume 8, DIA-England - EB.15"
193696084.txt,"Encyclopaedia Britannica - Seventh edition, Volume 9, England-FRA - EB.15"
193469090.txt,"Encyclopaedia Britannica - Seventh edition, Volume 10, France-GRO - EB.15"
193638940.txt,"Encyclopaedia Britannica - Seventh edition, Volume 11, Grotius-HYD - EB.15"
192693199.txt,"Encyclopaedia Britannica - Seventh edition, Volume 12, Hydrodynamics-KYR - EB.15"
193108323.txt,"Encyclopaedia Britannica - Seventh edition, Volume 13, LAB-Magnetism - EB.15"
193322689.txt,"Encyclopaedia Britannica - Seventh edition, Volume 14, Magnetism-Mexico - EB.15"
193819044.txt,"Encyclopaedia Britannica - Seventh edition, Volume 15, MEY-Navigation - EB.15"
194474782.txt,"Encyclopaedia Britannica - Seventh edition, Volume 16, Navigation-PAN - EB.15"
193469091.txt,"Encyclopaedia Britannica - Seventh edition, Volume 17, PAN-Plastic nature - EB.15"
193469092.txt,"Encyclopaedia Britannica - Seventh edition, Volume 18, PLA-QUI - EB.15"
193057501.txt,"Encyclopaedia Britannica - Seventh edition, Volume 19, RAB-SCU - EB.15"
193913444.txt,"Encyclopaedia Britannica - Seventh edition, Volume 20, Sculpture-SUR - EB.15"
193819045.txt,"Encyclopaedia Britannica - Seventh edition, Volume 21, Surveying-ZYM - EB.15"
192547789.txt,"Encyclopaedia Britannica - Seventh edition, General index - EB.15"
192984260.txt,"Encyclopaedia Britannica - Eighth edition, Volume 1, Dissertations - EB.16"
193322698.txt,"Encyclopaedia Britannica - Eighth edition, Volume 2, A-Anatomy - EB.16"
193696085.txt,"Encyclopaedia Britannica - Eighth edition, Volume 3, Anatomy-Astronomy - EB.16"
193696086.txt,"Encyclopaedia Britannica - Eighth edition, Volume 4, Astronomy-BOM - EB.16"
193108324.txt,"Encyclopaedia Britannica - Eighth edition, Volume 5, Bombay-BUR - EB.16"
193109113.txt,"Encyclopaedia Britannica - Eighth edition, Volume 6, Burning glasses-Climate - EB.16"
193109114.txt,"Encyclopaedia Britannica - Eighth edition, Volume 7, CLI-DIA - EB.16"
193108325.txt,"Encyclopaedia Britannica - Eighth edition, Volume 8, Diamond-Entail - EB.16"
193322700.txt,"Encyclopaedia Britannica - Eighth edition, Volume 9, Entomology-FRA - EB.16"
193109115.txt,"Encyclopaedia Britannica - Eighth edition, Volume 10, France-GRA - EB.16"
193469392.txt,"Encyclopaedia Britannica - Eighth edition, Volume 11, GRA-HUM - EB.16"
193696087.txt,"Encyclopaedia Britannica - Eighth edition, Volume 12, Hume-JOM - EB.16"
193916150.txt,"Encyclopaedia Britannica - Eighth edition, Volume 13, Jonah-MAG - EB.16"
193696088.txt,"Encyclopaedia Britannica - Eighth edition, Volume 14, Magnetism-MIH - EB.16"
193592632.txt,"Encyclopaedia Britannica - Eighth edition, Volume 15, Milan-NAV - EB.16"
193322699.txt,"Encyclopaedia Britannica - Eighth edition, Volume 16, Navigation-Ornithology - EB.16"
193819046.txt,"Encyclopaedia Britannica - Eighth edition, Volume 17, ORO-Plato - EB.16"
193108326.txt,"Encyclopaedia Britannica - Eighth edition, Volume 18, PLA-REI - EB.16"
193322701.txt,"Encyclopaedia Britannica - Eighth edition, Volume 19, Reid-Scythia - EB.16"
193469393.txt,"Encyclopaedia Britannica - Eighth edition, Volume 20, Seamanship-SZO - EB.16"
193819047.txt,"Encyclopaedia Britannica - Eighth edition, Volume 21, T-ZWO - EB.16"
193322702.txt,"Encyclopaedia Britannica - Eighth edition, Index - EB.16"
